IB Symbol,Product Description,Symbol,Currency
A,AGILENT TECHNOLOGIES INC,A,USD
AA,ALCOA CORP,AA,USD
AABA,ALTABA INC,AABA,USD
AAC,AAC HOLDINGS INC,AAC,USD
AADR,ADVISORSHARES DORSEY WRIGHT,AADR,USD
AAL,AMERICAN AIRLINES GROUP INC,AAL,USD
AAMC,ALTISOURCE ASSET MANAGEMENT,AAMC,USD
AAME,ATLANTIC AMERICAN CORP,AAME,USD
AAN,AARON'S INC,AAN,USD
AAOI,APPLIED OPTOELECTRONICS INC,AAOI,USD
AAON,AAON INC,AAON,USD
AAP,ADVANCE AUTO PARTS INC,AAP,USD
AAPL,APPLE INC,AAPL,USD
AAT,AMERICAN ASSETS TRUST INC,AAT,USD
AAU,ALMADEN MINERALS LTD - B,AAU,USD
AAV,ADVANTAGE OIL & GAS LTD,AAV,USD
AAWW,ATLAS AIR WORLDWIDE HOLDINGS,AAWW,USD
AAXJ,ISHARES MSCI ALL COUNTRY ASI,AAXJ,USD
AAXN,AXON ENTERPRISE INC,AAXN,USD
AB,ALLIANCEBERNSTEIN HOLDING LP,AB,USD
ABAC,RENMIN TIANLI GROUP INC,ABAC,USD
ABB,ABB LTD-SPON ADR,ABB,USD
ABBV,ABBVIE INC,ABBV,USD
ABC,AMERISOURCEBERGEN CORP.,ABC,USD
ABCB,AMERIS BANCORP,ABCB,USD
ABCD,CAMBIUM LEARNING GROUP INC,ABCD,USD
ABDC,ALCENTRA CAPITAL CORP,ABDC,USD
ABEO,ABEONA THERAPEUTICS INC,ABEO,USD
ABEV,AMBEV SA-ADR,ABEV,USD
ABG,ASBURY AUTOMOTIVE GROUP,ABG,USD
ABIL,ABILITY INC,ABIL,USD
ABIO,ARCA BIOPHARMA INC.,ABIO,USD
ABM,ABM INDUSTRIES INC,ABM,USD
ABMD,ABIOMED INC,ABMD,USD
ABR,ARBOR REALTY TRUST INC,ABR,USD
ABR PRA,ARBOR REALTY TRUST INC,ABR PRA,USD
ABR PRB,ARBOR REALTY TRUST INC,ABR PRB,USD
ABR PRC,ARBOR REALTY TRUST CUM REDEEMABLE P,ABR PRC,USD
ABT,ABBOTT LABORATORIES .,ABT,USD
ABTX,ALLEGIANCE BANCSHARES INC,ABTX,USD
ABUS,ARBUTUS BIOPHARMA CORP,ABUS,USD
ABX,BARRICK GOLD CORP,ABX,USD
AC,ASSOCIATED CAPITAL GROUP - A,AC,USD
ACAD,ACADIA PHARMACEUTICALS INC,ACAD,USD
ACBI,ATLANTIC CAPITAL BANCSHARES,ACBI,USD
ACC,AMERICAN CAMPUS COMMUNITIES,ACC,USD
ACCO,ACCO BRANDS CORP,ACCO,USD
ACER,ACER THERAPEUTICS INC,ACER,USD
ACET,ACETO CORP,ACET,USD
ACGL,ARCH CAPITAL GROUP LTD,ACGL,USD
ACGLO,ARCH CAPITAL GROUP LTD,ACGLO,USD
ACGLP,ARCH CAPITAL GROUP LTD,ACGLP,USD
ACH,ALUMINUM CORP OF CHINA-ADR,ACH,USD
ACHC,ACADIA HEALTHCARE CO INC,ACHC,USD
ACHN,ACHILLION PHARMACEUTICALS,ACHN,USD
ACHV,ACHIEVE LIFE SCIENCES INC,ACHV,USD
ACIA,ACACIA COMMUNICATIONS INC,ACIA,USD
ACIM,SPDR MSCI ACWI IMI ETF,ACIM,USD
ACIU,AC IMMUNE SA,ACIU,USD
ACIW,ACI WORLDWIDE INC,ACIW,USD
ACLS,AXCELIS TECHNOLOGIES INC,ACLS,USD
ACM,AECOM,ACM,USD
ACMR,ACM RESEARCH INC-CLASS A,ACMR,USD
ACN,ACCENTURE PLC-CL A,ACN,USD
ACNB,ACNB CORP,ACNB,USD
ACOR,ACORDA THERAPEUTICS INC,ACOR,USD
ACP,ABERDEEN INCOME CREDIT STRAT,ACP,USD
ACRE,ARES COMMERCIAL REAL ESTATE,ACRE,USD
ACRS,ACLARIS THERAPEUTICS INC,ACRS,USD
ACRX,ACELRX PHARMACEUTICALS INC,ACRX,USD
ACSF,AMERICAN CAPITAL SENIOR FLOA,ACSF,USD
ACSI,AMERICAN CUSTOMER SATISFACTI,ACSI,USD
ACST,ACASTI PHARMA INC,ACST,USD
ACT,ADVISORSHARES VICE ETF,ACT,USD
ACTG,ACACIA RESEARCH CORP,ACTG,USD
ACU,ACME UNITED CORP,ACU,USD
ACV,ALLIANZGI DIVERSIFIED INCOME,ACV,USD
ACWF,ISHARES EDGE MSCI MULTIFACTO,ACWF,USD
ACWI,ISHARES MSCI ACWI ETF,ACWI,USD
ACWV,ISHARES EDGE MSCI MIN VOL GL,ACWV,USD
ACWX,ISHARES MSCI ACWI EX US ETF,ACWX,USD
ACXM,ACXIOM CORP,ACXM,USD
ACY,AEROCENTURY CORP,ACY,USD
ADAP,ADAPTIMMUNE THERAPEUTICS-ADR,ADAP,USD
ADBE,ADOBE SYSTEMS INC,ADBE,USD
ADC,AGREE REALTY CORP,ADC,USD
ADES,ADVANCED EMISSIONS SOLUTIONS,ADES,USD
ADI,ANALOG DEVICES INC,ADI,USD
ADM,ARCHER-DANIELS-MIDLAND CO,ADM,USD
ADMA,ADMA BIOLOGICS INC,ADMA,USD
ADMP,ADAMIS PHARMACEUTICALS CORP,ADMP,USD
ADMS,ADAMAS PHARMACEUTICALS INC,ADMS,USD
ADNT,ADIENT PLC,ADNT,USD
ADOM,ADOMANI INC,ADOM,USD
ADP,AUTOMATIC DATA PROCESSING,ADP,USD
ADRA,INVESCO BLDRS ASIA 50 ADR INDE,ADRA,USD
ADRD,INVESCO BLDRS DEVELOPED MARKET,ADRD,USD
ADRE,INVESCO BLDRS EMERGING MARKETS,ADRE,USD
ADRO,ADURO BIOTECH INC,ADRO,USD
ADRU,INVESCO BLDRS EUROPE SELECT A,ADRU,USD
ADS,ALLIANCE DATA SYSTEMS CORP,ADS,USD
ADSK,AUTODESK INC,ADSK,USD
ADSW,ADVANCED DISPOSAL SERVICES I,ADSW,USD
ADT,ADT INC,ADT,USD
ADTN,ADTRAN INC,ADTN,USD
ADUS,ADDUS HOMECARE CORP,ADUS,USD
ADVM,ADVERUM BIOTECHNOLOGIES INC,ADVM,USD
ADX,ADAMS DIVERSIFIED EQUITY,ADX,USD
ADXS,ADVAXIS INC,ADXS,USD
AE,ADAMS RESOURCES & ENERGY INC,AE,USD
AEB,AEGON NV PERP CAP SECS FLTG RATE PFD,AEB,USD
AED,AEGON NV PERP CAP SECURITIES PFD,AED,USD
AEE,AMEREN CORP,AEE,USD
AEF,ABERDEEN EM MRKT EQTY INC,AEF,USD
AEG,AEGON N.V.-NY REG SHR,AEG,USD
AEGN,AEGION CORP,AEGN,USD
AEH,AEGON N.V. PERP.CAP SECS PFD 6.375%,AEH,USD
AEHR,AEHR TEST SYSTEMS,AEHR,USD
AEIS,ADVANCED ENERGY INDUSTRIES,AEIS,USD
AEL,AMERICAN EQUITY INVT LIFE HL,AEL,USD
AEM,AGNICO EAGLE MINES LTD,AEM,USD
AEMD,AETHLON MEDICAL INC,AEMD,USD
AEO,AMERICAN EAGLE OUTFITTERS,AEO,USD
AEP,AMERICAN ELECTRIC POWER,AEP,USD
AER,AERCAP HOLDINGS NV,AER,USD
AERI,AERIE PHARMACEUTICALS INC,AERI,USD
AES,AES CORP,AES,USD
AET,AETNA INC,AET,USD
AETI,AMERICAN ELECTRIC TECHNOLOGI,AETI,USD
AEY,ADDVANTAGE TECHNOLOGIES GRP,AEY,USD
AEZS,AETERNA ZENTARIS INC,AEZS,USD
AFB,ALLIANCE NATIONAL MUNI INC,AFB,USD
AFC,ALLIED CAPITAL CORP 6 7.8% NOTES,AFC,USD
AFG,AMERICAN FINANCIAL GROUP INC,AFG,USD
AFGE,AMERICAN FINANCIAL GROUP INC/OH,AFGE,USD
AFGH,AMERICAN FINANCIAL GROUP,AFGH,USD
AFH,ATLAS FINANCIAL HOLDINGS INC,AFH,USD
AFHBL,ATLAS FINANCIAL HLDG INC,AFHBL,USD
AFI,ARMSTRONG FLOORING INC,AFI,USD
AFK,VANECK VECTORS AFRICA INDEX,AFK,USD
AFL,AFLAC INC,AFL,USD
AFMD,AFFIMED NV,AFMD,USD
AFSI,AMTRUST FINANCIAL SERVICES,AFSI,USD
AFSI PRA,AMTRUST FINANCIAL SERVIC,AFSI PRA,USD
AFSI PRB,AMTRUST FINL SVCS INC DEP SH REPSTG,AFSI PRB,USD
AFSI PRC,AMTRUST FINANCIAL SERVIC,AFSI PRC,USD
AFSI PRD,AMTRUST FINANCIAL SERVIC,AFSI PRD,USD
AFSI PRE,AMTRUST FINANCIAL SERVIC,AFSI PRE,USD
AFSI PRF,AFSI 6.95 12/31/49 PFD,AFSI PRF,USD
AFSS,AMTRUST FINANCIAL SERVIC,AFSS,USD
AFST,"AMTRUST FINANCIAL SERVICES, INC PREFERRED",AFST,USD
AFT,APOLLO SENIOR FLOATING RATE,AFT,USD
AFTY,CSOP FTSE CHINA A50 ETF,AFTY,USD
AG,FIRST MAJESTIC SILVER CORP,AG,USD
AGC,ADVENT CLAYMORE CONVERTIBLE,AGC,USD
AGCO,AGCO CORP,AGCO,USD
AGD,ABERDEEN GLBL DYN DIVID,AGD,USD
AGEN,AGENUS INC,AGEN,USD
AGF,DB AGRICULTURE LONG ETN,AGF,USD
AGFS,AGROFRESH SOLUTIONS INC,AGFS,USD
AGG,ISHARES CORE U.S. AGGREGATE,AGG,USD
AGGE,IQ ENHANCED CORE BOND US ETF,AGGE,USD
AGGP,IQ ENHANCED CORE PLUS BOND U,AGGP,USD
AGGY,WISDOMTREE BARCLAYS YIELD EN,AGGY,USD
AGI,ALAMOS GOLD INC-CLASS A,AGI,USD
AGIO,AGIOS PHARMACEUTICALS INC,AGIO,USD
AGLE,AEGLEA BIOTHERAPEUTICS INC,AGLE,USD
AGM,FEDERAL AGRIC MTG CORP-CL C,AGM,USD
AGM A,FEDERAL AGRIC MTG CORP-CL A,AGM A,USD
AGM PRA,FEDERAL AGRIC MTG CORP NON-CUM PFD,AGM PRA,USD
AGM PRB,FEDERAL AGRICULTURAL MTG CORP NON,AGM PRB,USD
AGM PRC,FEDERAL AGRICULTURAL MTG CORP PFD S,AGM PRC,USD
AGMH,AGM GROUP HOLDINGS INC,AGMH,USD
AGN,ALLERGAN PLC,AGN,USD
AGNC,AGNC INVESTMENT CORP,AGNC,USD
AGNCB,AMERICAN CAPITAL AGENCY,AGNCB,USD
AGNCN,ANGC 7 PERP PFD,AGNCN,USD
AGND,WISDOMTREE BARCLAYS NEGATIVE,AGND,USD
AGO,ASSURED GUARANTY LTD,AGO,USD
AGO PRB,FINANCIAL SECURITY ASSURANCE HOLDINGS LTD,AGO PRB,USD
AGO PRE,FINANCIAL SEC ASSURANCE HDGS LTS,AGO PRE,USD
AGO PRF,FINANCIAL SECURITY ASSURANCE HLDGS,AGO PRF,USD
AGQ,PROSHARES ULTRA SILVER,AGQ,USD
AGR,AVANGRID INC,AGR,USD
AGRO,ADECOAGRO SA,AGRO,USD
AGRX,AGILE THERAPEUTICS INC,AGRX,USD
AGS,PLAYAGS INC,AGS,USD
AGT,ISHARES ARGENTINA,AGT,USD
AGTC,APPLIED GENETIC TECHNOLOGIES,AGTC,USD
AGX,ARGAN INC,AGX,USD
AGYS,AGILYSYS INC,AGYS,USD
AGZ,ISHARES AGENCY BOND ETF,AGZ,USD
AGZD,WISDOMTREE BARCLAYS INTEREST,AGZD,USD
AHC,AH BELO CORP-A,AHC,USD
AHH,ARMADA HOFFLER PROPERTIES IN,AHH,USD
AHL,ASPEN INSURANCE HOLDINGS LTD,AHL,USD
AHL PRC,ASPEN INSURANCE HLDG LTD,AHL PRC,USD
AHL PRD,ASPEN INSURANCE HLDG LTD,AHL PRD,USD
AHPA,AVISTA HEALTHCARE PUBLIC-A,AHPA,USD
AHPAU,AVISTA HEALTHCARE PUBLIC ACQ,AHPAU,USD
AHPI,ALLIED HEALTHCARE PRODUCTS,AHPI,USD
AHT,ASHFORD HOSPITALITY TRUST,AHT,USD
AHT PRD,ASHFORD HOSPITALITY TR INC. 8.45% SER D,AHT PRD,USD
AHT PRF,ASHFORD HOSPITALITY TRUS,AHT PRF,USD
AHT PRG,ASHFORD HOSPITALITY TRUS,AHT PRG,USD
AHT PRH,ASHFORD HOSPITALITY TRUS,AHT PRH,USD
AHT PRI,AHT 7 1/2 PERP PFD,AHT PRI,USD
AI,ARLINGTON ASSET INVESTMENT-A,AI,USD
AI PRB,ARLINGTON ASSET INVT CORP PERP PFD,AI PRB,USD
AIA,ISHARES ASIA 50 ETF,AIA,USD
AIC,ARLINGTON ASSET INVESTMENT CORP,AIC,USD
AIEQ,AI POWERED EQUITY ETF,AIEQ,USD
AIF,APOLLO TACTICAL INCOME FUND,AIF,USD
AIG,AMERICAN INTERNATIONAL GROUP,AIG,USD
AIHS,SENMIAO TECHNOLOGY LTD,AIHS,USD
AIIQ,AI POWERED INTERNATIONAL EQU,AIIQ,USD
AIMC,ALTRA INDUSTRIAL MOTION CORP,AIMC,USD
AIMT,AIMMUNE THERAPEUTICS INC,AIMT,USD
AIN,ALBANY INTL CORP-CL A,AIN,USD
AINC,ASHFORD INC,AINC,USD
AINV,APOLLO INVESTMENT CORP,AINV,USD
AIPT,PRECISION THERAPEUTICS INC,AIPT,USD
AIQ,GLOBAL X FUTURE ANALYTICS TE,AIQ,USD
AIR,AAR CORP,AIR,USD
AIRG,AIRGAIN INC,AIRG,USD
AIRI,AIR INDUSTRIES GROUP,AIRI,USD
AIRR,FIRST TRUST RBA AMERICAN IND,AIRR,USD
AIRT,AIR T INC,AIRT,USD
AIT,APPLIED INDUSTRIAL TECH INC,AIT,USD
AIV,APARTMENT INVT & MGMT CO -A,AIV,USD
AIV PRA,APARTMENT INVT & MGMT CO PFD CL A 6,AIV PRA,USD
AIW,ARLINGTON ASSET INVEST,AIW,USD
AIY,APOLLO INVESTMENT CORP,AIY,USD
AIZ,ASSURANT INC,AIZ,USD
AIZP,AIZ 6 /12 3/15/21 PFD,AIZP,USD
AJG,ARTHUR J GALLAGHER & CO,AJG,USD
AJRD,AEROJET ROCKETDYNE HOLDINGS,AJRD,USD
AJX,GREAT AJAX CORP,AJX,USD
AJXA,GREAT AJAX CORP,AJXA,USD
AKAM,AKAMAI TECHNOLOGIES INC,AKAM,USD
AKAO,ACHAOGEN INC,AKAO,USD
AKBA,AKEBIA THERAPEUTICS INC,AKBA,USD
AKCA,AKCEA THERAPEUTICS INC,AKCA,USD
AKER,AKERS BIOSCIENCES INC,AKER,USD
AKG,ASANKO GOLD INC,AKG,USD
AKO A,EMBOTELLADORA ANDINA-ADR A,AKO A,USD
AKO B,EMBOTELLADORA ANDINA-ADR B,AKO B,USD
AKP,ALLIANCE CALIF MUNI INCOME,AKP,USD
AKR,ACADIA REALTY TRUST,AKR,USD
AKRX,AKORN INC,AKRX,USD
AKS,AK STEEL HOLDING CORP,AKS,USD
AKTS,AKOUSTIS TECHNOLOGIES INC,AKTS,USD
AKTX,AKARI THERAPEUTICS PLC-ADR,AKTX,USD
AL,AIR LEASE CORP,AL,USD
ALB,ALBEMARLE CORP,ALB,USD
ALBO,ALBIREO PHARMA INC,ALBO,USD
ALCO,ALICO INC,ALCO,USD
ALD,WISDOMTREE ASIA LOCAL DEBT,ALD,USD
ALDR,ALDER BIOPHARMACEUTICALS INC,ALDR,USD
ALDX,ALDEYRA THERAPEUTICS INC,ALDX,USD
ALE,ALLETE INC,ALE,USD
ALEX,ALEXANDER & BALDWIN INC,ALEX,USD
ALFA,ALPHACLONE ALTERNATIVE ALPHA,ALFA,USD
ALG,ALAMO GROUP INC,ALG,USD
ALGN,ALIGN TECHNOLOGY INC,ALGN,USD
ALGT,ALLEGIANT TRAVEL CO,ALGT,USD
ALIM,ALIMERA SCIENCES INC,ALIM,USD
ALJJ,ALJ REGIONAL HOLDINGS INC,ALJJ,USD
ALK,ALASKA AIR GROUP INC,ALK,USD
ALKS,ALKERMES PLC,ALKS,USD
ALL,ALLSTATE CORP,ALL,USD
ALL PRA,ALLSTATE CORP,ALL PRA,USD
ALL PRB,ALLSTATE CORP,ALL PRB,USD
ALL PRC,ALLSTATE CORP,ALL PRC,USD
ALL PRD,ALLSTATE CORP LEOPARDS REPSTG 1/100,ALL PRD,USD
ALL PRE,ALLSTATE CORP,ALL PRE,USD
ALL PRF,ALLSTATE CORP (THE) LEOPARDS DEP SH,ALL PRF,USD
ALL PRG,ALL 5 5/58 PERP PFD,ALL PRG,USD
ALLE,ALLEGION PLC,ALLE,USD
ALLT,ALLOT COMMUNICATIONS LTD,ALLT,USD
ALLY,ALLY FINANCIAL INC,ALLY,USD
ALLY PRA,GMAC CAPITAL TRUST I,ALLY PRA,USD
ALN,AMERICAN LORAIN CORP,ALN,USD
ALNA,ALLENA PHARMACEUTICALS INC,ALNA,USD
ALNY,ALNYLAM PHARMACEUTICALS INC,ALNY,USD
ALO,ALIO GOLD INC,ALO,USD
ALOT,ASTRONOVA INC,ALOT,USD
